,date,time,value
0,2015-08-26,00:00:00,1.0843000412
1,2015-08-26,00:01:00,1.0843000412
2,2015-08-26,00:02:00,1.0843000412
3,2015-08-26,00:03:00,1.0843000412
4,2015-08-26,00:04:00,1.0843000412
5,2015-08-26,00:05:00,1.0843000412
6,2015-08-26,00:06:00,1.0843000412
7,2015-08-26,00:07:00,1.0843000412
8,2015-08-26,00:08:00,1.0843000412
9,2015-08-26,00:09:00,1.0843000412
10,2015-08-26,00:10:00,1.0843000412
11,2015-08-26,00:11:00,1.0843000412
12,2015-08-26,00:12:00,1.0843000412
13,2015-08-26,00:13:00,1.0843000412
14,2015-08-26,00:14:00,1.0843000412
15,2015-08-26,00:15:00,1.0843000412
16,2015-08-26,00:16:00,1.0843000412
17,2015-08-26,00:17:00,1.0843000412
18,2015-08-26,00:18:00,1.0843000412
19,2015-08-26,00:19:00,1.0843000412
20,2015-08-26,00:20:00,1.0843000412
21,2015-08-26,00:21:00,1.0843000412
22,2015-08-26,00:22:00,1.0843000412
23,2015-08-26,00:23:00,1.0843000412
24,2015-08-26,00:24:00,1.0843000412
25,2015-08-26,00:25:00,1.0843000412
26,2015-08-26,00:26:00,1.0843000412
27,2015-08-26,00:27:00,1.0843000412
28,2015-08-26,00:28:00,1.0843000412
29,2015-08-26,00:29:00,1.0843000412
30,2015-08-26,00:30:00,1.0843000412
31,2015-08-26,00:31:00,1.0843000412
32,2015-08-26,00:32:00,1.0843000412
33,2015-08-26,00:33:00,1.0843000412
34,2015-08-26,00:34:00,1.0843000412
35,2015-08-26,00:35:00,1.0843000412
36,2015-08-26,00:36:00,1.0843000412
37,2015-08-26,00:37:00,1.0843000412
38,2015-08-26,00:38:00,1.0843000412
39,2015-08-26,00:39:00,1.0843000412
40,2015-08-26,00:40:00,1.0843000412
41,2015-08-26,00:41:00,1.0843000412
42,2015-08-26,00:42:00,1.0843000412
43,2015-08-26,00:43:00,1.0843000412
44,2015-08-26,00:44:00,1.0843000412
45,2015-08-26,00:45:00,1.0843000412
46,2015-08-26,00:46:00,1.0843000412
47,2015-08-26,00:47:00,1.0843000412
48,2015-08-26,00:48:00,1.0843000412
49,2015-08-26,00:49:00,1.0843000412
50,2015-08-26,00:50:00,1.0843000412
51,2015-08-26,00:51:00,1.0843000412
52,2015-08-26,00:52:00,1.0843000412
53,2015-08-26,00:53:00,1.0843000412
54,2015-08-26,00:54:00,1.0843000412
55,2015-08-26,00:55:00,1.0843000412
56,2015-08-26,00:56:00,1.0843000412
57,2015-08-26,00:57:00,1.0843000412
58,2015-08-26,00:58:00,1.0843000412
59,2015-08-26,00:59:00,1.0843000412
60,2015-08-26,01:00:00,1.0843000412
61,2015-08-26,01:01:00,1.0843000412
62,2015-08-26,01:02:00,1.0843000412
63,2015-08-26,01:03:00,1.0843000412
64,2015-08-26,01:04:00,1.0843000412
65,2015-08-26,01:05:00,1.0843000412
66,2015-08-26,01:06:00,1.0843000412
67,2015-08-26,01:07:00,1.0843000412
68,2015-08-26,01:08:00,1.0843000412
