,date,time,value
0,2015-10-15,00:00:00,1.0951000452
1,2015-10-15,00:01:00,1.0951000452
2,2015-10-15,00:02:00,1.0951000452
3,2015-10-15,00:03:00,1.0951000452
4,2015-10-15,00:04:00,1.0951000452
5,2015-10-15,00:05:00,1.0951000452
6,2015-10-15,00:06:00,1.0951000452
7,2015-10-15,00:07:00,1.0951000452
8,2015-10-15,00:08:00,1.0951000452
9,2015-10-15,00:09:00,1.0951000452
10,2015-10-15,00:10:00,1.0951000452
11,2015-10-15,00:11:00,1.0951000452
12,2015-10-15,00:12:00,1.0951000452
13,2015-10-15,00:13:00,1.0951000452
14,2015-10-15,00:14:00,1.0951000452
15,2015-10-15,00:15:00,1.0951000452
16,2015-10-15,00:16:00,1.0951000452
17,2015-10-15,00:17:00,1.0951000452
18,2015-10-15,00:18:00,1.0951000452
19,2015-10-15,00:19:00,1.0951000452
20,2015-10-15,00:20:00,1.0951000452
21,2015-10-15,00:21:00,1.0951000452
22,2015-10-15,00:22:00,1.0951000452
23,2015-10-15,00:23:00,1.0951000452
24,2015-10-15,00:24:00,1.0951000452
25,2015-10-15,00:25:00,1.0951000452
26,2015-10-15,00:26:00,1.0951000452
27,2015-10-15,00:27:00,1.0951000452
28,2015-10-15,00:28:00,1.0951000452
29,2015-10-15,00:29:00,1.0951000452
30,2015-10-15,00:30:00,1.0951000452
31,2015-10-15,00:31:00,1.0951000452
32,2015-10-15,00:32:00,1.0951000452
33,2015-10-15,00:33:00,1.0951000452
34,2015-10-15,00:34:00,1.0951000452
35,2015-10-15,00:35:00,1.0951000452
36,2015-10-15,00:36:00,1.0951000452
37,2015-10-15,00:37:00,1.0951000452
38,2015-10-15,00:38:00,1.0951000452
39,2015-10-15,00:39:00,1.0951000452
40,2015-10-15,00:40:00,1.0951000452
41,2015-10-15,00:41:00,1.0951000452
42,2015-10-15,00:42:00,1.0951000452
43,2015-10-15,00:43:00,1.0951000452
44,2015-10-15,00:44:00,1.0951000452
45,2015-10-15,00:45:00,1.0951000452
46,2015-10-15,00:46:00,1.0951000452
47,2015-10-15,00:47:00,1.0951000452
48,2015-10-15,00:48:00,1.0951000452
49,2015-10-15,00:49:00,1.0951000452
50,2015-10-15,00:50:00,1.0951000452
51,2015-10-15,00:51:00,1.0951000452
52,2015-10-15,00:52:00,1.0951000452
53,2015-10-15,00:53:00,1.0951000452
54,2015-10-15,00:54:00,1.0951000452
55,2015-10-15,00:55:00,1.0951000452
56,2015-10-15,00:56:00,1.0951000452
57,2015-10-15,00:57:00,2.84725999832
58,2015-10-15,00:58:00,2.62824010849
59,2015-10-15,00:59:00,1.0951000452
60,2015-10-15,01:00:00,1.0951000452
61,2015-10-15,01:01:00,1.0951000452
62,2015-10-15,01:02:00,1.0951000452
63,2015-10-15,01:03:00,1.0951000452
64,2015-10-15,01:04:00,1.0951000452
65,2015-10-15,01:05:00,1.0951000452
66,2015-10-15,01:06:00,1.0951000452
67,2015-10-15,01:07:00,1.0951000452
68,2015-10-15,01:08:00,1.0951000452
69,2015-10-15,01:09:00,1.0951000452
70,2015-10-15,01:10:00,1.0951000452
71,2015-10-15,01:11:00,1.0951000452
72,2015-10-15,01:12:00,1.0951000452
73,2015-10-15,01:13:00,1.0951000452
74,2015-10-15,01:14:00,2.62824010849
75,2015-10-15,01:15:00,1.0951000452
76,2015-10-15,01:16:00,1.0951000452
77,2015-10-15,01:17:00,1.0951000452
78,2015-10-15,01:18:00,1.0951000452
79,2015-10-15,01:19:00,1.0951000452
80,2015-10-15,01:20:00,1.0951000452
81,2015-10-15,01:21:00,1.0951000452
82,2015-10-15,01:22:00,1.0951000452
83,2015-10-15,01:23:00,1.0951000452
84,2015-10-15,01:24:00,1.0951000452
85,2015-10-15,01:25:00,1.0951000452
86,2015-10-15,01:26:00,1.0951000452
87,2015-10-15,01:27:00,1.0951000452
88,2015-10-15,01:28:00,1.0951000452
89,2015-10-15,01:29:00,1.0951000452
90,2015-10-15,01:30:00,1.0951000452
91,2015-10-15,01:31:00,1.0951000452
92,2015-10-15,01:32:00,1.0951000452
93,2015-10-15,01:33:00,1.0951000452
94,2015-10-15,01:34:00,1.0951000452
95,2015-10-15,01:35:00,1.0951000452
96,2015-10-15,01:36:00,1.0951000452
97,2015-10-15,01:37:00,1.0951000452
98,2015-10-15,01:38:00,1.0951000452
99,2015-10-15,01:39:00,1.0951000452
100,2015-10-15,01:40:00,1.0951000452
101,2015-10-15,01:41:00,1.0951000452
102,2015-10-15,01:42:00,1.0951000452
103,2015-10-15,01:43:00,1.0951000452
104,2015-10-15,01:44:00,1.0951000452
105,2015-10-15,01:45:00,1.0951000452
106,2015-10-15,01:46:00,1.0951000452
107,2015-10-15,01:47:00,1.0951000452
108,2015-10-15,01:48:00,2.62824010849
109,2015-10-15,01:49:00,1.0951000452
110,2015-10-15,01:50:00,1.0951000452
111,2015-10-15,01:51:00,1.0951000452
112,2015-10-15,01:52:00,1.0951000452
113,2015-10-15,01:53:00,1.0951000452
114,2015-10-15,01:54:00,1.0951000452
115,2015-10-15,01:55:00,1.0951000452
116,2015-10-15,01:56:00,1.0951000452
117,2015-10-15,01:57:00,1.0951000452
118,2015-10-15,01:58:00,1.0951000452
119,2015-10-15,01:59:00,1.0951000452
120,2015-10-15,02:00:00,1.0951000452
121,2015-10-15,02:01:00,1.0951000452
122,2015-10-15,02:02:00,1.0951000452
123,2015-10-15,02:03:00,1.0951000452
124,2015-10-15,02:04:00,1.0951000452
125,2015-10-15,02:05:00,1.0951000452
126,2015-10-15,02:06:00,1.0951000452
127,2015-10-15,02:07:00,1.0951000452
128,2015-10-15,02:08:00,1.0951000452
129,2015-10-15,02:09:00,1.0951000452
130,2015-10-15,02:10:00,1.0951000452
131,2015-10-15,02:11:00,1.0951000452
132,2015-10-15,02:12:00,1.0951000452
133,2015-10-15,02:13:00,1.0951000452
134,2015-10-15,02:14:00,1.0951000452
135,2015-10-15,02:15:00,1.0951000452
136,2015-10-15,02:16:00,1.0951000452
137,2015-10-15,02:17:00,1.0951000452
138,2015-10-15,02:18:00,1.0951000452
139,2015-10-15,02:19:00,1.0951000452
140,2015-10-15,02:20:00,1.0951000452
141,2015-10-15,02:21:00,1.0951000452
142,2015-10-15,02:22:00,1.0951000452
143,2015-10-15,02:23:00,1.0951000452
144,2015-10-15,02:24:00,1.0951000452
145,2015-10-15,02:25:00,1.0951000452
146,2015-10-15,02:26:00,1.0951000452
147,2015-10-15,02:27:00,1.0951000452
148,2015-10-15,02:28:00,1.0951000452
149,2015-10-15,02:29:00,1.0951000452
150,2015-10-15,02:30:00,1.0951000452
151,2015-10-15,02:31:00,1.0951000452
152,2015-10-15,02:32:00,1.0951000452
153,2015-10-15,02:33:00,1.0951000452
154,2015-10-15,02:34:00,1.0951000452
155,2015-10-15,02:35:00,1.0951000452
156,2015-10-15,02:36:00,1.0951000452
157,2015-10-15,02:37:00,1.0951000452
158,2015-10-15,02:38:00,1.0951000452
159,2015-10-15,02:39:00,1.0951000452
160,2015-10-15,02:40:00,1.0951000452
161,2015-10-15,02:41:00,1.0951000452
162,2015-10-15,02:42:00,1.0951000452
163,2015-10-15,02:43:00,1.0951000452
164,2015-10-15,02:44:00,1.0951000452
165,2015-10-15,02:45:00,1.0951000452
166,2015-10-15,02:46:00,1.0951000452
167,2015-10-15,02:47:00,1.0951000452
168,2015-10-15,02:48:00,1.0951000452
169,2015-10-15,02:49:00,1.0951000452
170,2015-10-15,02:50:00,1.0951000452
171,2015-10-15,02:51:00,1.0951000452
172,2015-10-15,02:52:00,1.0951000452
173,2015-10-15,02:53:00,1.0951000452
174,2015-10-15,02:54:00,1.0951000452
175,2015-10-15,02:55:00,1.0951000452
176,2015-10-15,02:56:00,1.0951000452
177,2015-10-15,02:57:00,1.0951000452
178,2015-10-15,02:58:00,1.0951000452
179,2015-10-15,02:59:00,1.0951000452
180,2015-10-15,03:00:00,1.0951000452
181,2015-10-15,03:01:00,1.0951000452
182,2015-10-15,03:02:00,1.0951000452
183,2015-10-15,03:03:00,1.0951000452
184,2015-10-15,03:04:00,1.0951000452
185,2015-10-15,03:05:00,1.0951000452
186,2015-10-15,03:06:00,1.0951000452
187,2015-10-15,03:07:00,1.0951000452
188,2015-10-15,03:08:00,1.0951000452
189,2015-10-15,03:09:00,1.0951000452
190,2015-10-15,03:10:00,1.0951000452
191,2015-10-15,03:11:00,1.0951000452
192,2015-10-15,03:12:00,1.0951000452
193,2015-10-15,03:13:00,1.0951000452
194,2015-10-15,03:14:00,1.0951000452
195,2015-10-15,03:15:00,1.0951000452
196,2015-10-15,03:16:00,1.0951000452
197,2015-10-15,03:17:00,1.0951000452
198,2015-10-15,03:18:00,1.0951000452
199,2015-10-15,03:19:00,1.0951000452
200,2015-10-15,03:20:00,1.0951000452
201,2015-10-15,03:21:00,1.0951000452
202,2015-10-15,03:22:00,1.0951000452
203,2015-10-15,03:23:00,1.0951000452
204,2015-10-15,03:24:00,1.0951000452
205,2015-10-15,03:25:00,1.0951000452
206,2015-10-15,03:26:00,1.0951000452
207,2015-10-15,03:27:00,1.0951000452
208,2015-10-15,03:28:00,1.0951000452
209,2015-10-15,03:29:00,1.0951000452
210,2015-10-15,03:30:00,1.0951000452
211,2015-10-15,03:31:00,1.0951000452
212,2015-10-15,03:32:00,1.0951000452
213,2015-10-15,03:33:00,1.0951000452
214,2015-10-15,03:34:00,1.0951000452
215,2015-10-15,03:35:00,1.0951000452
216,2015-10-15,03:36:00,1.0951000452
217,2015-10-15,03:37:00,1.0951000452
218,2015-10-15,03:38:00,1.0951000452
219,2015-10-15,03:39:00,1.0951000452
220,2015-10-15,03:40:00,1.0951000452
221,2015-10-15,03:41:00,1.0951000452
222,2015-10-15,03:42:00,1.0951000452
223,2015-10-15,03:43:00,1.0951000452
224,2015-10-15,03:44:00,1.0951000452
225,2015-10-15,03:45:00,1.0951000452
226,2015-10-15,03:46:00,1.0951000452
227,2015-10-15,03:47:00,1.0951000452
228,2015-10-15,03:48:00,1.0951000452
229,2015-10-15,03:49:00,1.0951000452
230,2015-10-15,03:50:00,1.0951000452
231,2015-10-15,03:51:00,1.0951000452
232,2015-10-15,03:52:00,1.0951000452
233,2015-10-15,03:53:00,1.0951000452
234,2015-10-15,03:54:00,1.0951000452
235,2015-10-15,03:55:00,1.0951000452
236,2015-10-15,03:56:00,1.0951000452
237,2015-10-15,03:57:00,1.0951000452
238,2015-10-15,03:58:00,1.0951000452
239,2015-10-15,03:59:00,1.0951000452
240,2015-10-15,04:00:00,1.0951000452
241,2015-10-15,04:01:00,1.0951000452
242,2015-10-15,04:02:00,1.0951000452
243,2015-10-15,04:03:00,1.0951000452
244,2015-10-15,04:04:00,1.0951000452
245,2015-10-15,04:05:00,1.0951000452
246,2015-10-15,04:06:00,1.0951000452
247,2015-10-15,04:07:00,1.0951000452
248,2015-10-15,04:08:00,1.0951000452
249,2015-10-15,04:09:00,1.0951000452
250,2015-10-15,04:10:00,1.0951000452
251,2015-10-15,04:11:00,1.0951000452
252,2015-10-15,04:12:00,1.0951000452
253,2015-10-15,04:13:00,1.0951000452
254,2015-10-15,04:14:00,1.0951000452
255,2015-10-15,04:15:00,1.0951000452
256,2015-10-15,04:16:00,1.0951000452
257,2015-10-15,04:17:00,1.0951000452
258,2015-10-15,04:18:00,1.0951000452
259,2015-10-15,04:19:00,1.0951000452
260,2015-10-15,04:20:00,1.0951000452
261,2015-10-15,04:21:00,1.0951000452
262,2015-10-15,04:22:00,1.0951000452
263,2015-10-15,04:23:00,1.0951000452
264,2015-10-15,04:24:00,1.0951000452
265,2015-10-15,04:25:00,1.0951000452
266,2015-10-15,04:26:00,1.0951000452
267,2015-10-15,04:27:00,1.0951000452
268,2015-10-15,04:28:00,1.0951000452
269,2015-10-15,04:29:00,1.0951000452
270,2015-10-15,04:30:00,1.0951000452
271,2015-10-15,04:31:00,1.0951000452
272,2015-10-15,04:32:00,1.0951000452
273,2015-10-15,04:33:00,1.0951000452
274,2015-10-15,04:34:00,1.0951000452
275,2015-10-15,04:35:00,2.62824010849
276,2015-10-15,04:36:00,1.0951000452
277,2015-10-15,04:37:00,1.0951000452
278,2015-10-15,04:38:00,1.0951000452
