,date,time,value
0,2015-09-07,00:00:00,1.0909999609
1,2015-09-07,00:01:00,1.0909999609
2,2015-09-07,00:02:00,1.0909999609
3,2015-09-07,00:03:00,1.0909999609
4,2015-09-07,00:04:00,1.0909999609
5,2015-09-07,00:05:00,2.83660006523
6,2015-09-07,00:06:00,2.83660006523
7,2015-09-07,00:07:00,2.61840009689
8,2015-09-07,00:08:00,3.05480003357
9,2015-09-07,00:09:00,2.61840009689
10,2015-09-07,00:10:00,2.61840009689
11,2015-09-07,00:11:00,1.0909999609
12,2015-09-07,00:12:00,1.0909999609
13,2015-09-07,00:13:00,1.0909999609
14,2015-09-07,00:14:00,1.0909999609
15,2015-09-07,00:15:00,1.0909999609
16,2015-09-07,00:16:00,1.0909999609
17,2015-09-07,00:17:00,1.0909999609
18,2015-09-07,00:18:00,2.83660006523
19,2015-09-07,00:19:00,1.0909999609
20,2015-09-07,00:20:00,1.0909999609
21,2015-09-07,00:21:00,1.0909999609
22,2015-09-07,00:22:00,1.0909999609
23,2015-09-07,00:23:00,1.0909999609
24,2015-09-07,00:24:00,1.0909999609
25,2015-09-07,00:25:00,1.0909999609
26,2015-09-07,00:26:00,1.0909999609
27,2015-09-07,00:27:00,1.0909999609
28,2015-09-07,00:28:00,1.0909999609
29,2015-09-07,00:29:00,1.0909999609
30,2015-09-07,00:30:00,1.0909999609
31,2015-09-07,00:31:00,1.0909999609
32,2015-09-07,00:32:00,1.0909999609
33,2015-09-07,00:33:00,1.0909999609
34,2015-09-07,00:34:00,1.0909999609
35,2015-09-07,00:35:00,1.0909999609
36,2015-09-07,00:36:00,1.0909999609
37,2015-09-07,00:37:00,1.0909999609
38,2015-09-07,00:38:00,1.0909999609
39,2015-09-07,00:39:00,1.0909999609
40,2015-09-07,00:40:00,1.0909999609
41,2015-09-07,00:41:00,1.0909999609
42,2015-09-07,00:42:00,1.0909999609
43,2015-09-07,00:43:00,1.0909999609
44,2015-09-07,00:44:00,1.0909999609
45,2015-09-07,00:45:00,1.0909999609
46,2015-09-07,00:46:00,1.0909999609
47,2015-09-07,00:47:00,1.0909999609
48,2015-09-07,00:48:00,1.0909999609
49,2015-09-07,00:49:00,1.0909999609
50,2015-09-07,00:50:00,1.0909999609
51,2015-09-07,00:51:00,1.0909999609
52,2015-09-07,00:52:00,1.0909999609
53,2015-09-07,00:53:00,1.0909999609
54,2015-09-07,00:54:00,1.0909999609
55,2015-09-07,00:55:00,1.0909999609
56,2015-09-07,00:56:00,1.0909999609
57,2015-09-07,00:57:00,1.0909999609
58,2015-09-07,00:58:00,1.0909999609
59,2015-09-07,00:59:00,1.0909999609
60,2015-09-07,01:00:00,1.0909999609
61,2015-09-07,01:01:00,1.0909999609
62,2015-09-07,01:02:00,1.0909999609
63,2015-09-07,01:03:00,1.0909999609
64,2015-09-07,01:04:00,1.0909999609
65,2015-09-07,01:05:00,1.0909999609
66,2015-09-07,01:06:00,1.0909999609
67,2015-09-07,01:07:00,1.0909999609
68,2015-09-07,01:08:00,1.0909999609
69,2015-09-07,01:09:00,1.0909999609
70,2015-09-07,01:10:00,1.0909999609
71,2015-09-07,01:11:00,1.0909999609
72,2015-09-07,01:12:00,1.0909999609
73,2015-09-07,01:13:00,1.0909999609
74,2015-09-07,01:14:00,1.0909999609
75,2015-09-07,01:15:00,1.0909999609
76,2015-09-07,01:16:00,1.0909999609
77,2015-09-07,01:17:00,1.0909999609
78,2015-09-07,01:18:00,1.0909999609
79,2015-09-07,01:19:00,1.0909999609
80,2015-09-07,01:20:00,1.0909999609
81,2015-09-07,01:21:00,1.0909999609
82,2015-09-07,01:22:00,1.0909999609
83,2015-09-07,01:23:00,1.0909999609
84,2015-09-07,01:24:00,1.0909999609
85,2015-09-07,01:25:00,1.0909999609
86,2015-09-07,01:26:00,1.0909999609
87,2015-09-07,01:27:00,1.0909999609
88,2015-09-07,01:28:00,1.0909999609
89,2015-09-07,01:29:00,1.0909999609
90,2015-09-07,01:30:00,1.0909999609
91,2015-09-07,01:31:00,1.0909999609
92,2015-09-07,01:32:00,1.0909999609
93,2015-09-07,01:33:00,1.0909999609
94,2015-09-07,01:34:00,1.0909999609
95,2015-09-07,01:35:00,1.0909999609
96,2015-09-07,01:36:00,1.0909999609
97,2015-09-07,01:37:00,1.0909999609
98,2015-09-07,01:38:00,1.0909999609
99,2015-09-07,01:39:00,1.0909999609
100,2015-09-07,01:40:00,1.0909999609
101,2015-09-07,01:41:00,1.0909999609
102,2015-09-07,01:42:00,1.0909999609
103,2015-09-07,01:43:00,1.0909999609
104,2015-09-07,01:44:00,1.0909999609
105,2015-09-07,01:45:00,1.0909999609
106,2015-09-07,01:46:00,1.0909999609
107,2015-09-07,01:47:00,1.0909999609
108,2015-09-07,01:48:00,1.0909999609
109,2015-09-07,01:49:00,1.0909999609
110,2015-09-07,01:50:00,1.0909999609
111,2015-09-07,01:51:00,1.0909999609
112,2015-09-07,01:52:00,1.0909999609
113,2015-09-07,01:53:00,1.0909999609
114,2015-09-07,01:54:00,1.0909999609
115,2015-09-07,01:55:00,1.0909999609
116,2015-09-07,01:56:00,1.0909999609
117,2015-09-07,01:57:00,1.0909999609
118,2015-09-07,01:58:00,1.0909999609
119,2015-09-07,01:59:00,1.0909999609
120,2015-09-07,02:00:00,1.0909999609
121,2015-09-07,02:01:00,1.0909999609
